@relation LRO_4class_5

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {LC,LI,RC,RI}

@data
45.30354926,-90.36806106,LC
42.30428525,-89.34519397,LC
37.40768901,-83.11435504,LC
31.19738943,-77.09528039,LC
24.82892196,-75.41543604,LC
22.73662135,-72.97269503,LC
32.77064141,-78.42289379,LC
34.41856081,-79.05367625,LC
38.41252463,-81.22441440,LC
40.88882427,-84.17117376,LC
46.37822924,-88.39620107,LC
55.09350633,-94.29188528,LC
58.14510864,-99.53004634,LC
60.50952037,-91.92289559,LC
58.55826979,-87.01226071,LC
55.36626258,-88.69056231,LC
47.65032717,-85.50603057,LC
40.99279164,-81.14488298,LC
42.36347717,-86.48309251,LC
44.91753501,-88.43893045,LC
43.61881870,-87.17949932,LC
46.40713839,-88.71498027,LC
51.65766496,-93.67825183,LC
50.93878254,-96.48928047,LC
50.69452796,-96.87414067,LC
50.19338535,-94.70987518,LC
49.98805577,-93.33789200,LC
49.67840328,-91.12906645,LC
49.28744967,-88.76350610,LC
49.88640093,-86.91166325,LC
50.89006138,-88.16600326,LC
51.62043142,-88.40485715,LC
53.27465137,-88.95646685,LC
54.68754212,-90.51801226,LC
54.80047090,-94.51210226,LC
54.61200474,-94.36015008,LC
52.31944131,-91.92543360,LC
46.07107440,-89.86340718,LC
40.48529503,-88.11702242,LC
39.03885278,-81.63403319,LC
38.35305938,-74.01135366,LC
41.42921291,-64.47444204,LC
45.90771652,-47.76062648,LC
51.25472559,-29.00946504,LC
45.43336060,-15.53367455,LC
42.50560022,-7.98646206,LC
40.58501624,-1.90917238,LC
41.32303984,-0.24855214,LC
41.48743961,-0.19791998,LC
53.21840083,2.99306415,LC
57.53859839,4.13960795,LC
58.84301807,2.74567958,LC
55.86523691,0.74073755,LC
48.57533609,-0.73027797,LC
37.41340516,-1.28057098,LC
37.65670930,0.42820864,LC
35.78699068,1.54007350,LC
36.56828804,1.97759822,LC
38.26983703,3.68758957,LC
39.56762775,3.70183263,LC
35.43696428,1.97307604,LC
35.58883209,1.09296584,LC
35.86093843,1.48150062,LC
36.63181431,-0.08302401,LC
35.74611216,-0.56823486,LC
37.06243583,-0.77581467,LC
36.92582298,-6.43701559,LC
29.30133917,-23.63480206,LC
16.18006923,-41.15649982,LC
3.05552955,-58.71964653,LC
-9.13797278,-70.34043101,LC
-16.27696177,-75.65542405,LC
-15.85355291,-75.50167126,LC
-15.56819928,-75.35811500,LC
-15.47496421,-75.33586998,LC
43.32393433,-63.58852663,LC
45.40178410,-55.21917793,LC
39.46404330,-58.71361680,LC
43.01398279,-62.42903273,LC
55.05811774,-54.88239902,LC
65.65855749,-47.01679066,LC
71.54651239,-59.32397353,LC
78.84099409,-54.22173016,LC
80.74175403,-111.58518903,LC
78.18279003,-118.36188099,LC
76.50446430,-91.39477104,LC
75.92056365,-83.56948754,LC
79.13109206,-104.65916925,LC
83.60027800,-70.10490222,LC
84.20482730,-55.56995642,LC
86.24468541,-69.20438195,LC
84.55003004,-95.12367390,LC
85.46000190,-112.44468779,LC
73.80721596,-94.54173855,LC
65.30136883,-86.91849089,LC
62.06119871,-68.95011983,LC
60.48046735,-51.81966795,LC
50.85568987,-36.11479472,LC
48.68102219,-19.56193404,LC
44.83934396,-11.19427558,LC
47.12623136,-12.33008728,LC
40.92852956,-11.33296344,LC
39.68621145,-10.80226688,LC
40.10767969,-10.51920972,LC
41.98897471,-7.05773514,LC
36.30893964,-6.34907241,LC
36.75729430,-5.74152035,LC
35.08771291,-4.27434713,LC
37.36877798,-2.14485796,LC
40.69726088,1.05914086,LC
42.39193511,3.22546399,LC
41.62014069,4.21869900,LC
44.21651705,-1.73818170,LC
43.53443275,-17.38753073,LC
37.64540345,-33.12375132,LC
40.77217510,-49.60554386,LC
38.11978670,-67.24131355,LC
38.13463341,-73.63124457,LC
45.37534707,-73.19218169,LC
42.43319238,-75.36535148,LC
42.83786943,-74.01494162,LC
48.93634465,-76.40417416,LC
50.63464453,-78.38223340,LC
46.20600808,-79.27195479,LC
49.75729703,-79.65948525,LC
50.14309088,-82.49740654,LC
50.47664507,-83.54521485,LC
52.82187282,-82.55084355,LC
54.59235203,-84.77483291,LC
50.43301400,-84.49388228,LC
42.27501814,-80.50349849,LC
33.18768624,-77.56614278,LC
23.14883251,-77.13385006,LC
14.82864258,-75.14388976,LC
15.55816295,-75.14587921,LC
18.71906327,-71.90586304,LC
24.10840666,-67.06308272,LC
24.84021686,-68.08662040,LC
33.92423914,-65.50854393,LC
37.98058903,-66.20384695,LC
37.47131836,-69.85798804,LC
38.79613545,-65.58853266,LC
47.98882835,-52.41537221,LC
50.10960744,-45.78097641,LC
46.64356047,1.86833460,LC
40.51999184,1.07533250,LC
35.30647788,1.20753119,LC
30.75069699,0.82245087,LC
28.56381636,0.92145144,LC
31.88792387,1.97027297,LC
34.06276313,3.83803522,LC
45.95719623,6.20228048,LC
54.29347182,7.92703379,LC
55.43952985,9.22666953,LC
56.60024556,11.00663212,LC
56.76117803,10.11667975,LC
46.95981503,7.42075189,LC
36.12556343,5.67419977,LC
33.97228505,3.34207906,LC
30.71720801,0.61319971,LC
29.41576104,-1.15319519,LC
30.81273867,-1.35771456,LC
33.44257133,-0.56403177,LC
36.99780798,1.64088815,LC
37.61206729,3.74815812,LC
43.09436565,7.53154332,LC
45.00191116,6.34644288,LC
43.08283697,5.37404085,LC
41.52413435,5.08671597,LC
39.94429207,4.72744192,LC
35.20357270,3.60114054,LC
32.89930699,4.99668569,LC
37.72536256,-0.30097240,LC
42.36612258,-10.49102222,LC
41.77688969,-10.61695277,LC
42.08878792,-11.51241943,LC
42.35593666,-11.67972025,LC
38.26765326,-5.30378235,LC
35.13778475,3.34464073,LC
37.48248678,3.90230934,LC
37.67480421,3.67009750,LC
38.71334516,2.92668351,LC
38.76151473,3.29960116,LC
41.46283297,4.65033457,LC
40.67121044,3.38716114,LC
41.50351044,5.39235520,LC
38.38026945,4.75197474,LC
36.29293267,6.85825011,LC
31.14198551,4.16467374,LC
28.39995935,4.05713274,LC
25.78056209,2.18268773,LC
25.18990711,1.96891041,LC
29.70967464,0.28605640,LC
30.31770043,0.70083187,LC
29.82473704,0.38623592,LC
29.22592020,0.03505339,LC
30.69086710,0.43080326,LC
26.93636285,-0.73491941,LC
27.67781297,-1.36054856,LC
27.67683941,-9.88496457,LC
30.88605365,-13.96964462,LC
32.40552959,-18.40124488,LC
33.47187237,-24.38923085,LC
27.67541727,-34.97981844,LC
31.98778150,-29.34393302,LC
33.40925165,-31.45671809,LC
37.20803450,-39.03408547,LC
36.78828331,-49.58365193,LC
39.84897773,-55.15076424,LC
38.15230343,-66.87090313,LC
30.80374956,-74.27400752,LC
22.43016921,-74.58536995,LC
20.13408141,-74.34494941,LC
21.29276012,-74.55662119,LC
24.61619285,-85.00061466,LC
23.04679424,-83.61706746,LC
25.84069638,-87.01943127,LC
27.28081299,-89.47680444,LC
29.18821802,-89.13924148,LC
34.52166999,-92.45815260,LC
39.37924392,-93.97883302,LC
41.43348580,-80.85043203,LC
49.38667624,-67.85353322,LC
56.38559962,-53.93969524,LC
63.50987255,-56.15303021,LC
81.24625012,-85.67796370,LC
73.35048648,172.49804164,LC
60.58503573,163.19200049,LC
51.17699988,160.14523844,LC
51.14370040,152.47164004,LC
64.79197910,146.20931005,LC
65.46389439,134.52933642,LC
62.97615370,125.38962872,LC
59.84717644,114.45837689,LC
64.37935510,113.66974327,LC
63.96448570,121.71643858,LC
79.13210389,106.50894239,LC
81.27417814,5.30890804,LC
74.87394751,-35.27101459,LC
70.67738557,-27.86766056,LC
69.82963820,-40.36843163,LC
72.39043173,-55.88895206,LC
68.06210364,-26.33211036,LC
53.57056334,-5.96449821,LC
44.15809207,-17.47361030,LC
35.17254742,-3.88931270,LC
22.10735096,7.78511315,LC
19.01297430,4.73679663,LC
14.43314232,-0.47662074,LC
8.94686903,5.71992712,LC
5.27535036,5.42305214,LC
3.84969317,4.09612437,LC
4.04685492,5.67944295,LC
6.41253748,9.95694426,LC
6.84056268,10.38808129,LC
6.45589024,11.00620483,LC
5.51558267,11.21173728,LC
3.87279136,9.47042898,LC
2.39611307,6.11322179,LC
38.02082113,-77.35474859,LC
25.21992170,-78.22857932,LC
15.13862749,-76.19067858,LC
15.39394746,-76.84132567,LC
19.77853716,-79.15266624,LC
20.66636138,-79.70432625,LC
27.38899413,-84.33249414,LC
29.46325709,-84.94344188,LC
27.99860555,-83.67098870,LC
23.41953175,-81.04986522,LC
19.24133350,-78.87153432,LC
17.79178090,-73.04284744,LC
21.85807107,-66.86526377,LC
23.37929314,-66.58447510,LC
31.17415953,-61.57709546,LC
41.38534669,-48.20979710,LC
45.11062067,-36.19806690,LC
42.84492804,-27.80389691,LC
42.38379374,-10.17152674,LC
37.36539564,-4.96923753,LC
