@relation LR_2class_10

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {L,R}

@data
43.10193126,-87.05245256,L
41.23378293,-85.42711224,L
38.16422560,-82.89839815,L
35.44912861,-82.79896658,L
33.25257574,-81.50197191,L
29.76762244,-77.77627519,L
28.29487585,-74.70391355,L
28.10313124,-75.67913884,L
26.93041540,-76.60176431,L
29.97829275,-76.88680949,L
34.49930940,-79.82998800,L
38.31113856,-82.09116888,L
46.24091432,-85.11576874,L
46.95136368,-86.92523029,L
48.54272101,-89.09044062,L
49.61278014,-85.47105817,L
49.34052977,-87.10317591,L
51.87212745,-90.13841072,L
51.05757464,-89.54564572,L
50.85108710,-88.62604054,L
51.16712935,-88.21136186,L
51.11167870,-88.68190418,L
46.73672516,-87.47221304,L
46.91482587,-87.29002433,L
46.87169380,-87.18782021,L
46.79293858,-91.66247853,L
47.75937698,-91.90524533,L
46.92395063,-90.12860851,L
49.55992327,-91.49960222,L
50.52207836,-93.03539557,L
50.32816850,-92.01732071,L
50.51450253,-91.56721424,L
50.69830882,-91.34821279,L
50.93070629,-89.84846008,L
51.75529189,-89.72489037,L
52.05963957,-89.55659885,L
52.55429698,-90.69225975,L
52.74844075,-91.33538679,L
50.84172741,-89.39016415,L
48.19513370,-88.60974508,L
47.23359947,-89.11308903,L
46.50897762,-86.42503468,L
47.85888806,-80.60330148,L
47.91711618,-73.55091655,L
48.39407421,-65.94120924,L
49.01898613,-57.11106023,L
46.08123066,-45.87570765,L
45.53791286,-36.60048886,L
45.20311279,-26.32976217,L
47.61879358,-16.46211995,L
47.54279285,-8.38514432,L
48.69064339,-3.34493317,L
50.64751448,-1.51112483,L
49.76210015,0.17337716,L
47.26598343,-0.10542231,L
44.63691186,-0.08202132,L
46.55574346,1.32922348,L
46.68215818,1.60768967,L
47.40336757,1.77910739,L
44.77514037,1.39007644,L
41.51857262,1.33927746,L
38.66511335,1.49194161,L
35.25816788,1.11107236,L
35.88223939,1.45963690,L
36.61526889,1.90664851,L
37.95289000,1.65031230,L
37.03962460,1.15403396,L
36.68274967,0.17821107,L
35.18428731,-5.68932845,L
31.61596908,-13.84326027,L
27.29966901,-23.50005503,L
21.82359259,-32.57522585,L
15.18869873,-41.13152819,L
9.37069643,-48.78147953,L
3.37758852,-55.51227431,L
-3.12420091,-62.73343778,L
-8.39149709,-69.44513758,L
-13.96515267,-74.38325041,L
-15.77241284,-75.62562885,L
25.45753818,-63.79640394,L
33.39705565,-62.20465677,L
44.48928283,-55.43119103,L
54.16792029,-53.23474876,L
60.85145288,-57.18616470,L
60.11934324,-57.55420093,L
62.05393452,-62.81686878,L
66.17340529,-68.52952548,L
72.79803817,-68.09458543,L
72.29598544,-65.19978943,L
77.04373311,-73.20009356,L
82.03759780,-89.24895864,L
83.03858212,-100.72804063,L
82.26468710,-96.79819577,L
79.80734976,-77.24622450,L
81.95630700,-95.42428533,L
81.12119656,-101.83983023,L
76.90332843,-84.61740811,L
75.78426796,-75.43425419,L
74.52088867,-63.81839755,L
73.47115425,-53.29580984,L
67.84183868,-40.09872316,L
62.32763595,-37.97410699,L
57.66533355,-33.95224470,L
54.94333256,-28.68630819,L
48.42409363,-23.04526199,L
44.19853470,-17.84057159,L
44.80072744,-11.43092026,L
42.43965372,-9.00601238,L
41.16332813,-8.62224270,L
38.00648958,-7.86578651,L
37.94251641,-7.14455899,L
40.34113329,-4.64274043,L
40.70555640,-1.95551762,L
39.85239228,-1.23545873,L
38.33288221,-1.19390577,L
39.48683191,-6.61453343,L
39.60956830,-12.38391832,L
43.22715325,-18.11883975,L
45.84238328,-24.97778119,L
44.82817375,-36.08896327,L
49.41445672,-39.95922099,L
44.87856562,-48.77441370,L
42.14962002,-57.45597402,L
42.82796094,-66.59518814,L
44.07797093,-75.85271722,L
46.09008410,-75.88900705,L
46.71456231,-77.08870689,L
46.43848362,-77.32088216,L
47.93596472,-79.34325702,L
51.81144896,-80.70470718,L
49.39551250,-81.16102260,L
50.18370700,-82.15114867,L
48.58050953,-82.13224247,L
44.64169120,-81.04166321,L
40.89657315,-79.90980558,L
37.62063612,-79.12824341,L
34.89059146,-78.97126385,L
31.41436411,-77.86228126,L
29.06016332,-73.24738813,L
26.76126496,-72.02325719,L
24.64594513,-71.27870912,L
26.82924924,-70.85775320,L
27.07042400,-71.18094369,L
29.71503722,-69.09636579,L
32.12588422,-63.48249306,L
38.21824642,-61.40613946,L
41.68582532,-58.17411072,L
45.02515956,-54.71706096,L
47.34155177,-57.26833210,L
53.34989195,-51.42863741,L
55.07758744,-34.68215694,L
51.66823068,-19.47941011,L
46.81476935,-4.12409381,L
42.24995393,1.10532938,L
41.76623982,2.94754423,L
36.40122319,2.20797412,L
35.52249109,1.57081478,L
37.71650077,1.94937852,L
39.39446452,3.13796416,L
41.40158356,3.57571830,L
42.28077015,3.95106912,L
41.92683238,4.68544099,L
45.18816118,6.09893221,L
45.80528576,6.84247371,L
46.14865442,7.02540389,L
44.73235033,6.36121392,L
44.39477322,5.44249968,L
42.43181644,4.03966027,L
40.38481332,2.53957461,L
36.39973798,2.39767333,L
34.99380539,2.52454858,L
35.03550848,2.01966159,L
35.00044709,2.89213773,L
37.77926247,2.12598650,L
37.81126005,1.84530506,L
38.71494523,2.67978190,L
39.09859953,3.56931569,L
38.95094321,4.92038642,L
38.87128117,5.52821459,L
39.80522069,4.76735552,L
41.79165523,-0.11881696,L
41.69544252,-2.66940286,L
39.79172319,-3.27333971,L
37.63196227,-2.15771201,L
37.85840471,-2.60829611,L
38.43617124,-3.03162203,L
39.52583509,-3.07899654,L
39.81647145,-3.39719746,L
40.00170124,-3.81360507,L
40.04528634,-3.08742395,L
38.82667050,1.74304379,L
39.38447685,3.74424321,L
39.79017769,4.30685409,L
38.92312142,3.66332253,L
38.08280519,5.23537008,L
36.75633877,4.92994877,L
35.30265725,4.09279989,L
34.02915118,3.71350257,L
32.96670728,3.58755911,L
30.91574523,3.11220761,L
31.68195862,2.93805578,L
29.30887934,2.51491157,L
27.88852695,1.54606862,L
27.38122519,1.20480737,L
28.33322432,-0.07268913,L
28.81739960,-0.00685462,L
28.24723459,-3.29881171,L
29.73289358,-6.62621637,L
31.24194409,-7.41801102,L
32.31332426,-10.59327097,L
29.48655582,-14.30347736,L
29.18654243,-19.02417085,L
30.80743672,-20.28166088,L
34.15449766,-24.98881181,L
35.94388665,-30.76508523,L
34.40200452,-40.33327301,L
36.35384007,-44.03475587,L
35.39578408,-47.98957923,L
32.29307799,-54.89903295,L
30.07371075,-59.93555111,L
30.59528112,-63.84705564,L
32.27621691,-66.69910513,L
28.47458499,-74.56466178,L
23.96741428,-75.47797127,L
20.93869710,-77.45596773,L
23.08816053,-78.87009272,L
21.00088762,-80.58348161,L
21.98149841,-82.45212629,L
24.11538803,-85.05571618,L
24.87988757,-86.16146671,L
29.64949547,-89.65131339,L
29.94200981,-88.59973018,L
31.87867593,-85.75348467,L
34.78090441,-83.84804921,L
38.98016419,-77.79253236,L
44.56007911,-78.83400453,L
53.91268933,-86.82128427,L
62.09084923,-97.63203416,L
70.56728116,-115.16792794,L
74.69975285,-152.51684165,L
75.62286367,-175.77686746,L
76.95011210,168.75072705,L
75.08884183,158.43120489,L
66.62217422,146.34050182,L
59.22945675,146.65293502,L
57.26671878,138.99499409,L
61.83895888,136.95212719,L
68.52669973,130.33681788,L
75.26071149,121.77571444,L
78.54248518,101.15737819,L
81.72403818,79.35329964,L
83.14475421,73.43668845,L
87.25793889,57.02774410,L
80.39670827,-24.24516184,L
69.54556466,-15.08236312,L
61.92441526,-16.74625457,L
55.28681771,-16.79798475,L
50.99091628,-10.30953105,L
44.69147620,-3.02655905,L
36.39059532,-2.51639731,L
27.33244307,-2.46700610,L
21.45734125,-0.38249370,L
15.38273401,3.73805440,L
11.05672903,5.27264228,L
10.15939863,5.91868199,L
9.00457273,5.46561108,L
6.95882559,8.11641051,L
4.77255354,8.18663131,L
4.19613755,7.54035020,L
4.18587705,7.75690924,L
4.41418339,8.15069274,L
5.05225918,6.63543889,L
9.26702570,3.87515596,L
29.72459974,-71.95025670,L
28.88189102,-75.05364447,L
28.33427688,-77.63174096,L
27.66025454,-78.86607748,L
24.66372266,-81.31039436,L
21.78427777,-80.13358470,L
21.49050844,-80.02299148,L
20.66488232,-79.62246542,L
