@relation O_2class_20

@attribute Roll numeric
@attribute Pitch numeric

@attribute class {C,I}

@data
39.26750406,-84.15164445,C
39.50736440,-83.47088867,C
39.15602053,-83.21100467,C
38.44326036,-83.12116499,C
38.54383707,-82.93383691,C
39.44216155,-83.75869006,C
39.92777085,-83.89026182,C
41.91683874,-83.86197547,C
41.48927890,-84.78628549,C
42.00338705,-85.38674969,C
41.67989579,-81.82243592,C
40.99272523,-81.13999859,C
42.47783644,-82.98853052,C
41.30196332,-83.10926854,C
42.03743774,-82.67645702,C
43.88416027,-83.96370830,C
45.38934909,-85.32585192,C
46.52557264,-86.43471137,C
46.93145420,-87.11976387,C
47.68856358,-88.10411153,C
48.17432008,-88.77827698,C
48.52922437,-89.65574884,C
49.25594993,-90.13291351,C
50.25193038,-90.59542248,C
50.68552164,-91.01985708,C
50.71328005,-90.29896583,C
50.79736079,-90.27014549,C
48.86848040,-89.45993889,C
49.05744725,-88.60038319,C
49.46446033,-88.47057747,C
49.50145549,-90.63281089,C
50.19219773,-91.31657799,C
49.85194356,-90.70310267,C
50.19435191,-90.46612628,C
49.41245980,-90.82193109,C
48.84135978,-90.56116549,C
48.63913595,-89.01241290,C
49.50284102,-86.16313151,C
49.84719168,-82.13142839,C
50.84708141,-78.51014505,C
51.84239245,-74.59256407,C
51.84862430,-69.05083992,C
52.81325179,-64.67336469,C
52.71929701,-58.54299258,C
53.88772489,-54.20232964,C
54.97548608,-50.03014073,C
55.65012034,-46.17004160,C
56.42964978,-41.73479056,C
55.07085698,-35.95555823,C
52.69947422,-30.75064862,C
50.30333200,-25.19525419,C
48.81904756,-20.72162191,C
47.76112732,-16.47159357,C
47.22624390,-11.85362422,C
46.50131916,-7.04115294,C
44.58759030,-3.20053618,C
43.58212471,-0.66626327,C
42.69368458,0.00905762,C
42.60112415,0.90849703,C
41.81079733,1.01065919,C
41.21570004,0.84986003,C
41.66725183,1.23282586,C
41.49122289,0.81261965,C
41.33104740,-2.29756425,C
38.74130218,-6.53158116,C
35.67676446,-10.96639817,C
32.52416188,-14.62648257,C
28.43590842,-18.12160124,C
27.25949856,-21.37717498,C
25.93423319,-24.45466721,C
24.62901372,-28.60847296,C
22.43770610,-31.27708573,C
20.51394259,-32.97471576,C
19.03360785,-35.32608821,C
17.47448767,-37.28253121,C
17.77620342,-41.18879964,C
16.05826754,-47.07387471,C
16.77616029,-50.33126209,C
15.34409531,-54.03743721,C
15.19825255,-57.92273950,C
16.26637824,-60.32768611,C
18.51068956,-64.44086167,C
20.91673162,-69.22968274,C
25.34824650,-69.08310914,C
33.13568246,-68.85231696,C
42.02461582,-69.65654712,C
49.41327771,-69.66914652,C
56.01324456,-66.93019597,C
61.12261646,-67.10000643,C
66.22089285,-68.55630190,C
70.57809123,-65.40304288,C
72.83251892,-64.69879289,C
72.52768624,-64.15668895,C
73.52560372,-67.79388432,C
73.47839253,-74.03386058,C
72.18704523,-74.98409672,C
74.41216336,-71.63914272,C
73.43638684,-64.53679465,C
75.48224599,-62.13561126,C
76.05308312,-52.92547317,C
74.50412549,-50.15230858,C
72.09375401,-45.89340706,C
69.28268603,-40.36472827,C
68.35484781,-34.60543926,C
66.41130435,-30.07317187,C
63.87799146,-26.37146843,C
61.18590598,-22.79172999,C
58.86039939,-20.83201361,C
55.79688409,-18.07855652,C
52.71779485,-16.60618068,C
51.53139061,-15.90342419,C
49.59894561,-13.95373429,C
47.47674914,-11.70569951,C
43.52688425,-10.42303658,C
41.94669409,-11.95312895,C
42.27131035,-11.91570693,C
42.89971395,-13.27134519,C
43.61747487,-15.88614074,C
41.96000221,-19.93303965,C
44.20408371,-20.17169281,C
44.48609442,-23.33668728,C
44.80994287,-26.63405546,C
46.08306557,-30.13537422,C
47.53636496,-34.40570712,C
48.30148425,-38.68520286,C
48.02035242,-43.03955142,C
48.88848607,-47.98170072,C
50.26688819,-53.30701350,C
50.77100075,-58.51047218,C
51.24103667,-62.81746843,C
49.04296964,-66.50957566,C
46.27962978,-70.06733211,C
43.99280949,-74.04780228,C
42.48712580,-77.94723302,C
41.93072512,-77.59585471,C
41.02516778,-78.08299367,C
39.24848210,-77.61124110,C
39.02837069,-76.03912930,C
40.13248283,-75.81740958,C
37.88994687,-75.67889921,C
39.57899299,-75.99245671,C
38.50608015,-76.09009383,C
37.81689184,-74.80819586,C
37.13780912,-71.83745793,C
38.23306855,-71.11635338,C
38.33880108,-70.36206697,C
37.44357628,-69.60199147,C
35.89292387,-68.37860612,C
36.30621221,-66.63400921,C
35.90767736,-62.57988087,C
37.76566598,-57.41224311,C
38.58305056,-51.70757106,C
39.78979047,-45.05271410,C
40.88169887,-38.44500143,C
41.92489019,-32.32347832,C
42.51107930,-25.98496142,C
44.24220028,-19.96288740,C
45.81123011,-15.76849531,C
48.06188562,-11.36834518,C
47.77182809,-6.52874276,C
45.71005254,-2.52549086,C
45.86971413,2.46114948,C
44.53398091,4.61156406,C
44.51829291,5.40470052,C
41.43471093,4.56953253,C
40.57603713,3.63515148,C
40.28100717,3.04295087,C
