@relation train_right.arff

@attribute Inspiration_Duration numeric
@attribute Expiration_Duration numeric
@attribute Respiration_Duration numeric
@attribute IE_Ratio numeric
@attribute Stretch numeric
@attribute Upper_Stretch numeric
@attribute Lower_Stretch numeric
@attribute Rate_of_Change_Max_ numeric
@attribute Rate_of_Change_Min_ numeric
@attribute Inspiration_Duration_dist numeric
@attribute Expiration_Duration_dist numeric
@attribute Respiration_Duration_dist numeric
@attribute IE_Ratio_dist numeric
@attribute Stretch_dist numeric
@attribute Upper_Stretch_dist numeric
@attribute Lower_Stretch_dist numeric
@attribute Rate_of_Change_Max__dist numeric
@attribute Rate_of_Change_Min__dist numeric
@attribute Inspiration_Duration_ratio numeric
@attribute Expiration_Duration_ratio numeric
@attribute Respiration_Duration_ratio numeric
@attribute IE_Ratio_ratio numeric
@attribute Stretch_ratio numeric
@attribute Upper_Stretch_ratio numeric
@attribute Lower_Stretch_ratio numeric
@attribute Rate_of_Change_Max__ratio numeric
@attribute Rate_of_Change_Min__ratio numeric
@attribute Magnitude_Mean_ numeric
@attribute Magnitude_Median_ numeric
@attribute Magnitude_STD_ numeric
@attribute Magnitude_Quartile_ numeric
@attribute Wrist_Duration numeric
@attribute Pitch_Mean_ numeric
@attribute Pitch_Median_ numeric
@attribute Pitch_STD_ numeric
@attribute Pitch_Quartile_ numeric
@attribute Roll_Mean_ numeric
@attribute Roll_Median_ numeric
@attribute Roll_STD_ numeric
@attribute Roll_Quartile_ numeric
@attribute RStime-WStime numeric
@attribute REtime-WStime numeric
@attribute RStime-WEtime numeric
@attribute REtime-WEtime numeric
@attribute RPStime-WEtime numeric

@attribute class {puff,nonpuff}

@data
4312.50000000,1640.62500000,5953.12500000,2.62857143,1105.87042797,430.18049504,-675.68993292,29.14417122,-22.70744275,3000.00000000,468.75000000,3351.56250000,1.62857143,375.64784243,143.79944435,-208.27857716,7.25484575,5.02843542,3.28571429,1.40000000,2.28828829,2.62857143,1.51442923,1.50212625,1.44560016,1.33143304,0.81870286,208.02696017,163.87367429,189.11960259,265.52678753,3187.50000000,31.26734644,34.18550652,13.69053964,25.59296846,72.58680863,70.79280070,9.45413197,17.73386850,2706.87500000,8660.00000000,-480.62500000,5472.50000000,3831.87500000,nonpuff
4031.25000000,1078.12500000,5109.37500000,3.73913043,1683.34930062,954.13649419,-729.21280643,34.41340792,-44.57902415,2695.31250000,-93.75000000,2414.06250000,2.70579710,1065.52589080,704.75600936,-323.55409573,14.70227873,-21.33444294,3.01754386,0.92000000,1.89565217,3.61851332,2.72464473,3.82602710,1.79760175,1.74588719,1.91782436,25.32957924,23.02174106,13.98258360,18.29103379,2625.00000000,60.07613186,60.59700413,2.05670141,0.53428505,59.69849057,59.53894343,2.04339463,1.17911038,1331.87500000,6441.25000000,-1293.12500000,3816.25000000,2738.12500000,puff
4500.00000000,2109.37500000,6609.37500000,2.13333333,1265.33802558,634.94747532,-630.39055026,31.05463574,-27.93710458,3187.50000000,937.50000000,3960.93750000,1.08958333,695.31992822,413.24027329,-281.45057662,11.47925729,-5.98534621,3.42857143,1.80000000,2.49557522,2.04391218,2.21982079,2.86390099,1.80658737,1.58641305,1.27265908,18.50814293,14.94722663,12.24714726,7.34764953,3750.00000000,62.41933404,62.38834469,0.40680091,0.41623703,58.10418015,58.43473362,1.60499634,2.27482071,1144.37500000,7753.75000000,-2605.62500000,4003.75000000,1894.37500000,puff
3468.75000000,1359.37500000,4828.12500000,2.55172414,1472.19305915,1014.13571567,-458.05734348,48.93665059,-43.61507133,2296.87500000,70.31250000,2460.93750000,1.42472999,978.03167129,756.41771389,-139.35245175,28.64590144,-24.06849191,2.96000000,1.05454545,2.03960396,2.26418578,2.97917461,3.93505967,1.43724604,2.41177150,2.23134035,46.08714189,21.75990244,59.14357085,42.86930989,2312.50000000,61.97832784,61.97513788,0.93423788,1.10788501,60.38370384,60.60279495,2.21465848,1.82234996,852.00000000,5680.12500000,-1460.50000000,3367.62500000,2008.25000000,puff
4593.75000000,1078.12500000,5671.87500000,4.26086957,1348.05188976,888.30413920,-459.74775056,45.33609102,-38.64345692,3328.12500000,-164.06250000,3281.25000000,3.13585954,793.47506007,643.01786080,-108.95135878,26.73414656,-17.21920342,3.62962963,0.86792453,2.37254902,3.78740586,2.43077572,3.62149952,1.31058289,2.43716946,1.80372478,15.99343610,11.41059438,14.89312124,13.89950574,3500.00000000,63.19315173,63.17030230,0.53790163,0.57561744,54.68246321,54.51554362,1.25534351,1.59366158,836.37500000,6508.25000000,-2663.62500000,3008.25000000,1930.12500000,puff
5484.37500000,1171.87500000,6656.25000000,4.68000000,1389.03436722,745.76034243,-643.27402480,32.87767049,-43.05344653,4171.87500000,46.87500000,4171.87500000,3.53551948,864.72580225,534.33941841,-310.11300615,14.96615951,-23.05847666,4.17857143,1.04166667,2.67924528,4.08919149,2.64926888,3.52737245,1.93082020,1.83556097,2.15321387,14.10621689,9.75241768,12.67418800,6.80538080,4437.50000000,63.62228891,63.67565549,0.48750768,0.50336815,55.03761871,54.85518300,1.30692170,1.71512355,883.25000000,7539.50000000,-3554.25000000,3102.00000000,1930.12500000,puff
5250.00000000,937.50000000,6187.50000000,5.60000000,1161.91010507,626.78331368,-535.12679139,18.21556755,-33.45456763,4054.68750000,-210.93750000,3398.43750000,4.57584034,632.97240732,435.77408008,-172.90024848,2.59063489,-13.50948220,4.39215686,0.81632653,2.21848739,5.46789744,2.19668613,3.28142939,1.47732628,1.16580135,1.67733389,17.81884341,12.23289990,15.25659698,12.32502601,3500.00000000,63.45376462,63.56264418,0.96377858,0.65420858,60.01658710,60.04440834,1.55657881,2.04338103,820.75000000,7008.25000000,-2679.25000000,3508.25000000,2570.75000000,puff
4781.25000000,1593.75000000,6375.00000000,3.00000000,1661.33390293,985.98589502,-675.34800791,47.99123274,-36.68852609,3585.93750000,375.00000000,3468.75000000,1.94736842,1132.39620518,761.73462993,-356.54850394,31.24176709,-18.44851180,4.00000000,1.30769231,2.19354839,2.85000000,3.14088769,4.39679078,2.11840985,2.86523963,2.01143078,15.42388536,12.34659208,12.48015066,8.78263026,4250.00000000,65.37129927,65.33138175,0.39617404,0.58696049,52.78274308,52.86384254,0.82745154,0.95561170,1070.75000000,7445.75000000,-3179.25000000,3195.75000000,1602.00000000,puff
3843.75000000,2765.62500000,6609.37500000,1.38983051,1677.55846397,1075.37770524,-602.18075873,51.43002772,-39.65096765,2953.12500000,1687.50000000,4710.93750000,0.41308632,1309.41354966,900.44512428,-362.18698391,39.10406080,-24.10229628,4.31578947,2.56521739,3.48148148,1.42292171,4.55678837,6.14738375,2.50915158,4.17249438,2.55011934,23.56174763,12.16657600,44.35364561,9.68478069,3187.50000000,64.29904315,64.22574805,0.84977975,0.66424772,53.59879591,54.02927990,2.84360845,0.97724994,852.00000000,7461.37500000,-2335.50000000,4273.87500000,1508.25000000,puff
4406.25000000,3562.50000000,7968.75000000,1.23684211,1454.66177445,1083.56671970,-371.09505474,51.12971718,-40.23423931,3421.87500000,2296.87500000,5601.56250000,0.51820856,980.07061626,827.00037489,-113.17555299,35.39340876,-21.65144854,4.47619048,2.81481481,3.36633663,1.72110267,3.06508402,4.22333927,1.43880184,3.24915576,2.16513439,16.42928609,12.04705260,14.87413312,7.32146895,3500.00000000,64.39541667,64.41691987,0.59287989,0.53530881,52.31141389,52.36671062,1.35926585,1.80764834,617.62500000,8586.37500000,-2882.37500000,5086.37500000,1523.87500000,puff
