@relation train_right_selected.arff

@attribute Upper_Stretch numeric
@attribute Rate_of_Change_Max_ numeric
@attribute Rate_of_Change_Min_ numeric
@attribute Respiration_Duration_dist numeric
@attribute Upper_Stretch_dist numeric
@attribute Rate_of_Change_Min__dist numeric
@attribute Lower_Stretch_ratio numeric
@attribute Magnitude_Mean_ numeric
@attribute Wrist_Duration numeric
@attribute Pitch_Median_ numeric
@attribute Roll_Mean_ numeric
@attribute Roll_Median_ numeric
@attribute RStime-WEtime numeric

@attribute class {puff,nonpuff}

@data
430.18049504,29.14417122,-22.70744275,3351.56250000,143.79944435,5.02843542,1.44560016,208.02696017,3187.50000000,34.18550652,72.58680863,70.79280070,-480.62500000,nonpuff
954.13649419,34.41340792,-44.57902415,2414.06250000,704.75600936,-21.33444294,1.79760175,25.32957924,2625.00000000,60.59700413,59.69849057,59.53894343,-1293.12500000,puff
634.94747532,31.05463574,-27.93710458,3960.93750000,413.24027329,-5.98534621,1.80658737,18.50814293,3750.00000000,62.38834469,58.10418015,58.43473362,-2605.62500000,puff
1014.13571567,48.93665059,-43.61507133,2460.93750000,756.41771389,-24.06849191,1.43724604,46.08714189,2312.50000000,61.97513788,60.38370384,60.60279495,-1460.50000000,puff
888.30413920,45.33609102,-38.64345692,3281.25000000,643.01786080,-17.21920342,1.31058289,15.99343610,3500.00000000,63.17030230,54.68246321,54.51554362,-2663.62500000,puff
745.76034243,32.87767049,-43.05344653,4171.87500000,534.33941841,-23.05847666,1.93082020,14.10621689,4437.50000000,63.67565549,55.03761871,54.85518300,-3554.25000000,puff
626.78331368,18.21556755,-33.45456763,3398.43750000,435.77408008,-13.50948220,1.47732628,17.81884341,3500.00000000,63.56264418,60.01658710,60.04440834,-2679.25000000,puff
985.98589502,47.99123274,-36.68852609,3468.75000000,761.73462993,-18.44851180,2.11840985,15.42388536,4250.00000000,65.33138175,52.78274308,52.86384254,-3179.25000000,puff
1075.37770524,51.43002772,-39.65096765,4710.93750000,900.44512428,-24.10229628,2.50915158,23.56174763,3187.50000000,64.22574805,53.59879591,54.02927990,-2335.50000000,puff
1083.56671970,51.12971718,-40.23423931,5601.56250000,827.00037489,-21.65144854,1.43880184,16.42928609,3500.00000000,64.41691987,52.31141389,52.36671062,-2882.37500000,puff
1124.43624943,63.92609423,-43.90659338,3070.31250000,866.84796066,-24.15338495,1.90675883,22.22075735,2000.00000000,64.31841886,57.86510283,57.93718647,-1069.87500000,puff
1004.80983453,44.71948653,-35.77127968,3609.37500000,819.54679219,-19.09369956,1.41076185,61.20494254,2437.50000000,63.32986142,80.05975191,80.01953344,-1132.37500000,puff
1098.55609343,54.79531445,-50.09520714,1968.75000000,901.45499859,-30.35937959,1.16788723,28.41366550,2687.50000000,64.78176704,64.21530163,64.08572028,-1882.37500000,puff
1079.36480095,55.39617803,-42.88057231,4781.25000000,849.10381578,-22.48260830,1.00177741,20.19732011,4562.50000000,65.19918500,77.97784412,77.65434060,-3741.75000000,puff
724.22532766,34.52380396,-35.03293225,6398.43750000,478.22110932,-16.00008674,1.28115871,16.29559327,5750.00000000,69.22511407,68.58667119,68.65761599,-4694.87500000,puff
279.65452125,28.34078325,-32.00937474,-117.18750000,-122.23029487,-1.77400701,0.96291069,436.25375008,937.50000000,47.27720869,112.94803627,112.93303359,2627.75000000,nonpuff
548.05306326,42.73659725,-33.75463789,-1101.56250000,272.10616807,-12.20748316,1.54052700,101.95613852,312.50000000,42.67891066,98.39481978,99.55784543,909.00000000,nonpuff
1078.61868147,58.27216231,-37.05915237,3726.56250000,747.16615086,-13.13958193,1.03110879,61.76779070,4437.50000000,48.32748661,1.85597002,2.33907389,79.50000000,nonpuff
424.68103980,26.12462502,-21.82352210,-492.18750000,63.69558181,1.82944819,0.83418892,39.67549441,6625.00000000,56.38045246,126.56937509,124.67663729,329.50000000,nonpuff
225.81014460,27.74453027,-13.53621479,-1453.12500000,-138.25691606,10.47009230,2.30815730,36.27579789,4875.00000000,64.55980595,55.65481562,55.40214770,1735.75000000,nonpuff
686.50839761,34.68153218,-28.54829796,6890.62500000,322.78264374,-4.54199086,1.05906553,36.54952927,4312.50000000,58.76330448,25.28378585,26.03721454,-4264.25000000,nonpuff
605.65884614,44.53351590,-28.14451226,281.25000000,245.31237197,-2.42835747,2.22686201,132.52495632,812.50000000,64.33359398,111.95309800,113.60017131,2353.75000000,nonpuff
605.65884614,44.53351590,-28.14451226,281.25000000,245.31237197,-2.42835747,2.22686201,238.68866033,1812.50000000,73.30041039,-16.49603438,-14.83522189,-271.25000000,nonpuff
315.76264991,29.73640305,-26.46735832,1406.25000000,14.13127331,-3.46905360,1.59826071,184.96450355,1937.50000000,34.46508984,21.09000225,21.18647384,2448.12500000,nonpuff
